 ( 0.39574246391875789     , 8.64960397500169620E-004)
 (-0.19941843204410503     , 0.63675420575861352     )
 (-0.80786661323831055     ,-0.38830049466657357     )
 ( 0.21934491897606989     ,-0.81948321935988844     )
 ( 0.66763959590078770     , 0.38728678910188563     )
 (-3.48618572980754493E-002,-0.68210687577073514     )
 (-0.30309423580664685     , 0.42686766804234111     )
 (-3.58804997083694843E-003,-0.20743648735174958     )
 ( 0.89986760374707586     ,-0.20549154193140140     )
 (-0.60972684790690579     ,-6.09710636150637697E-002)
 ( 1.11097550697749625E-002, 0.80917210423051955     )
 (-1.92031442317386336E-004,-0.70323017247847730     )
 (-0.25954338993589232     , 0.80827970516480008     )
 ( 0.41681703233862066     , 0.22077212228270326     )
 (-0.14758351052368113     , 0.50480066589505412     )
 (-0.26058531829719556     ,-0.81317502896286697     )
 ( 0.16582080382735143     ,-0.49856612783032261     )
 ( 0.38378277717097120     , 0.83615529655786958     )
 ( 3.91050514640127744E-002,-0.37034019117715644     )
 ( 0.32985145838463126     ,-0.11696455373067494     )
 ( 0.95877201322726791     ,-0.93221001980914053     )
 (-0.41225653491719783     , 0.62566888538014354     )
 (-0.76290320965589586     ,-0.97219716758701935     )
 ( 0.27640238656842797     ,-0.61538726477670735     )
 (-0.17648409949121202     ,-0.82207787450733605     )
 (-0.39613402447125878     ,-0.20107752520346622     )
 (-0.75917400327129059     , 0.50375185729210870     )
 (-0.55891903519179920     ,-0.78220920658169035     )
 ( 0.19573940436938386     ,-0.75248109782018702     )
 ( 0.42392315971701322     ,-0.26061309141403655     )
 ( 0.13194108394255721     , 0.76977799384774670     )
 ( 6.21234436926201283E-002,-0.30142785445492137     )
 (-0.33399767945926584     ,-0.85700894513838222     )
 ( 0.76504423161591006     ,-0.85414028624939675     )
 ( 0.37076791543082521     , 0.12889165480458331     )
 ( 0.72363933281828707     ,-0.72891108967770180     )
 (-0.22941658882101734     , 0.65367306442163198     )
 ( 5.14006448001040894E-002, 0.61148393176892313     )
 ( 0.83640441878807081     ,-0.65601753503126048     )
 ( 0.44558508891534387     , 0.67475258267744920     )
 ( 0.98986893368859086     , 0.11465187001777366     )
 ( 0.96946222076180533     ,-0.64166206626453715     )
 ( 4.22531270332555664E-002,-0.17676427873499989     )
 (-0.41233549924957202     ,-6.44460986232004984E-002)
 (-0.86969102039521573     , 0.86894343043791622     )
 ( 0.14589579431176247     , 0.71280129751232124     )
 ( 0.21473578775586333     ,-0.81836014380798616     )
 ( 3.41967864319698833E-002, 0.66906163022962772     )
 (-0.14809548584040755     ,-0.18757467206405209     )
 (-0.60438385830489239     ,-0.97591067498263584     )
 ( 0.63387168075811218     , 0.41808685782046240     )
 (-0.84956908125716524     ,-7.51434190083344333E-002)
 ( 0.93912550715648280     ,-0.93037888232669985     )
 (-0.86406354295295529     , 9.55362777741513014E-002)
 (-0.40466121518173992     , 0.37725509945919811     )
 ( 0.27422219412530779     , 0.79432470609275896     )
 ( 0.99909804577858807     ,-9.68803741090553672E-002)
 ( 0.96120314281338182     ,-0.18460509115141832     )
 (-0.43542556579999570     ,-0.15484846788564965     )
 (-0.96957543905657673     ,-0.75407941068625206     )
 ( 0.60683581995552771     ,-0.73590010006314088     )
 ( 2.07371797609070541E-002,-0.45889263070274211     )
 (-0.44559039446702542     ,-0.44312230713359924     )
 (-0.47121027735236254     , 0.14420016253756529     )
 (-0.49677112908617715     ,-5.38799867260379983E-002)
 (-0.25865815779739165     ,-9.18099327474308780E-002)
 ( 0.46866847568932002     ,-0.42512851770977278     )
 (-0.47039846853315481     , 0.15110897669955392     )
 (-0.71256000646409490     ,-0.89098457140648435     )
 (-0.41592597593726310     ,-0.89793744223050709     )
 (-0.88489760871861023     ,-7.44358359568835226E-002)
 ( 0.93471168825274020     ,-0.79980014493799700     )
 (-0.86870331684728086     , 0.99444012215899846     )
 ( 0.92341394140671440     ,-0.75166195844088435     )
 ( 0.80196489040550745     , 6.20795397457456488E-002)
 (-0.51491973589848072     ,-0.52335874306209718     )
 ( 0.37920401739491894     ,-4.07288274945543094E-002)
 ( 0.78540547706088404     ,-0.55571944926612815     )
 ( 0.89347191725683928     ,-0.34971024771886761     )
 (-0.68063794062206995     ,-0.67193482001108151     )
 ( 0.48304136372765782     ,-0.49221498338074099     )
 ( 7.97769329471051947E-002, 7.13213996895021296E-002)
 ( 0.41032887024035603     ,-0.64477032936344614     )
 ( 7.15173157666626480E-002,-0.72650907077741778     )
 (-0.44255669670602771     ,-0.19179892327651515     )
 ( 0.10948945575719193     , 0.39571497924873000     )
 (-0.27755637579711134     ,-0.26544069058656561     )
 ( 0.45886279697608501     , 0.26974858081370456     )
 (-7.31973383082404894E-002, 0.23387596079356143     )
 ( 0.53959790159219523     , 8.16014721916573649E-002)
 (-0.40811783258872225     ,-0.97454876386979805     )
 ( 0.83541675371932200     , 0.63701346887500421     )
 ( 0.37127103730934863     , 0.77411893992853464     )
 (-0.34425359480847106     ,-0.89206843170212125     )
 ( 0.28506099390161665     , 0.54096741944311333     )
 (-4.11712114023217168E-002,-0.46274947669804334     )
 ( 0.36496971784466581     , 0.71428690570274256     )
 (-0.35894158062306047     ,-0.30210424297468563     )
 (-0.81589210817541158     ,-0.42832252858995190     )
 ( 0.24262313651140488     ,-0.35844521318313838     )
 (-0.56443862436700698     , 0.78950451062296878     )
 (-0.25138150966368045     , 0.23668827595076181     )
 (-0.71173973158810355     , 0.11795773692227129     )
 (-0.96107862377719044     ,-0.38543806066287090     )
 ( 0.86027043240832057     , 7.10426948160645111E-002)
 ( 0.64518053437236489     , 0.77062329309716660     )
 (-0.79289234781121110     ,-0.54190181657083514     )
 (-0.97975191130328909     , 0.28629015779278433     )
 (-0.75062251587670659     ,-0.85092369792796063     )
 (-0.14982511825892431     , 0.54780840127261143     )
 (-0.29157748694232311     ,-0.51296845591907214     )
 ( 0.50246047784323622     , 0.87396213951819135     )
 ( 0.15415067645275116     , 0.73022898836762096     )
 (-0.90747614679489885     , 0.17776800254602421     )
 ( 0.59426104087784637     ,-5.98133325857546083E-002)
 ( 0.57428046928796306     ,-0.64145638265700455     )
 ( 0.67211442160586188     ,-0.42699887400471681     )
 (-0.44378686507307208     , 0.35459666098460474     )
 ( 0.63995302316626379     , 4.66555267059263201E-002)
 ( 0.17234530279440463     , 0.11292219450728425     )
 (-0.89150665292815034     ,-0.26113609357725664     )
 ( 0.38400371732691241     ,-0.29458999822202969     )
 ( 0.54153746254447555     ,-0.16444915788049030     )
 ( 0.76413013396383889     , 0.12083782752596761     )
 (-0.91139313307568415     , 0.44149034500792794     )
 (-0.54289333646884330     , 0.19304823487401990     )
 ( 0.27813807455660111     , 0.24911876876983996     )
 (-0.92546633916251864     , 0.61786378512737627     )
 (-0.89807273369084584     , 0.33128139069440721     )
 (-0.63291952696577169     ,-0.38082511874848279     )
 ( 6.71030648341996994E-003, 0.39585860383061089     )
 (-0.68464470897399821     ,-0.27207558860892078     )
 ( 0.29445168974105940     ,-0.14296715618770151     )
 (-0.35535169379827636     ,-0.85889922004560759     )
 (-0.43247098222244773     , 0.70658896580987829     )
 (-0.34967013500861555     ,-0.33897647879008019     )
 (-0.58802407616636998     , 0.40127628510963831     )
 ( 0.70856983523767525     ,-0.66714904598723734     )
 (-0.11027653725526676     , 0.43608739911854144     )
 (-0.84817654889386773     ,-0.71995524379872933     )
 ( 0.13279536508806444     ,-0.80948528086077687     )
 (-0.35386001275819723     ,-0.81182058662432866     )
 ( 4.71037160961813584E-002, 0.88261785705679330     )
 (-0.72126877188518534     ,-0.66332727080749265     )
 ( 0.61429606336545106     , 0.53626113512591900     )
 ( 0.83532434498160768     , 0.58042447298054611     )
 ( 0.42546018199706026     ,-0.12265198365646057     )
 (-7.14440293770408630E-002,-0.58132871459429936     )
 (-8.61637683323479564E-002, 0.76747568843943981     )
 (-0.43302152899568824     , 6.12846640843756063E-002)
 (-0.57654467276396559     , 0.52534587631378571     )
 ( 0.39008315323828668     , 0.64294270846652779     )
 (-0.96974388714821913     , 0.26968470579759440     )
 ( 0.22403592071363931     , 0.49778281698160498     )
 ( 0.32016427914091850     ,-0.14046740409100522     )
 ( 4.65061889892908198E-002, 0.37097919936240231     )
 (-0.35170840609672638     ,-0.64924778267499761     )
 ( 0.22298721003644317     , 0.91387339323375016     )
 ( 0.40325842886542063     , 0.99865602158541122     )
 ( 0.45229281764616047     , 0.71550545647482267     )
 (-0.74589554160744598     ,-0.79203778140772130     )
 ( 0.82140950330417439     , 2.03356455357308619E-002)
 ( 0.16276368067197922     ,-0.41996314073464447     )
 (-0.56947884043095343     ,-0.65070131518906038     )
 (-0.87392033225970778     ,-0.92424263423931308     )
 ( 4.37442869741957452E-002,-0.71621731665607768     )
 ( 0.31626248783569366     ,-0.33247305654351322     )
 (-0.88914854929132758     ,-0.88064013744065761     )
 (-0.20902243808374266     ,-0.31183269304273864     )
 (-0.62404220518406106     ,-0.99719597760907419     )
 ( 0.64234631579434875     , 1.48065566640340762E-002)
 (-0.64826302561571225     , 0.21179759309506352     )
 ( 0.87146637019676376     ,-0.50535264699460214     )
 ( 0.52815645018690560     ,-0.27355330378794207     )
 (-0.93993732683046716     , 0.49383525222099678     )
 (-0.23608479453603337     ,-0.89502662944119749     )
 ( 0.83699792260571115     ,-0.37726430936408661     )
 (-0.53733290897648800     ,-0.53257249219144143     )
 ( 0.10303835128384975     , 0.67795813366131341     )
 (-0.42434231742775097     , 0.29064458713536823     )
 (-0.99407304733578172     , 0.38562484130357433     )
 ( 3.35292431717775230E-002, 0.52965649957251770     )
 ( 0.89789801279922443     ,-1.14295623900062537E-003)
 ( 0.85369462395012619     ,-0.26497088984366002     )
 (-0.76728811792614948     , 0.18743056873409358     )
 ( 0.98178420768285690     , 0.38683921959852086     )
 (-3.24652298986976007E-002,-0.42377638362774661     )
 (-0.88283219740763030     ,-0.70609724284805253     )
 ( 4.99724779584411749E-002, 0.98362893832659637     )
 (-0.32061677230158381     , 0.91611286250701340     )
 (-0.35927310594505713     ,-0.25128135582446731     )
 ( 0.15540269628720438     , 0.78802849697716937     )
 (-0.37888272671049350     ,-0.99118026846344520     )
 (-8.70254994491475031E-002,-0.59214113709561644     )
 ( 0.56053229375580571     , 0.51446971547459697     )
 ( 0.88372842818332487     ,-0.81259629486294926     )
 (-0.30480885887974551     ,-0.71133808163580881     )
 (-0.85273369929664256     ,-0.85997798039523587     )
 ( 0.74482990790303205     , 0.51904657315952107     )
 (-0.65498848649074404     , 0.34499930143623914     )
 ( 0.84153091325318741     ,-0.49248560892664983     )
 (-0.89389902084517558     , 0.92245372873855302     )
 (-0.13668535158198125     ,-9.14588510373235408E-002)
 ( 0.48800692807005674     ,-3.71479019222604734E-002)
 (-0.42224556603370189     ,-0.89199733773416057     )
 ( 0.15781210493459952     ,-0.11601559612734746     )
 (-0.14380996306571348     ,-0.70493327386731863     )
 ( 0.12706751414636841     , 0.96555918633588789     )
 ( 0.59054593942286004     ,-0.94658026956376062     )
 ( 0.88987451431207631     ,-0.10788233873257269     )
 (-0.26925982521655811     ,-0.73832181634868022     )
 (-0.48880976057919412     , 0.19841068992854360     )
 ( 8.46381533898110661E-002, 0.48855681613218138     )
 (-0.59370546665386570     ,-0.63757365160461887     )
 (-0.66709981289776721     , 0.26340277511842913     )
 (-0.79618467544330684     , 0.35958471321350061     )
 (-0.61867101011026904     , 0.58924717184509490     )
 ( 0.27962513939942113     , 0.83191799384655241     )
 ( 0.10188178168569806     ,-0.53924160457024328     )
 (-0.50176824494585759     ,-0.68198418766588276     )
 (-0.77619174658858725     ,-0.80440633124357674     )
 ( 0.73792832724247859     , 0.53782475674562846     )
 ( 0.27684806321141053     , 0.95182378837278492     )
 (-0.63311980699152315     , 0.46073581743916492     )
 ( 0.83250722730402771     , 0.37853836346430825     )
 (-0.43455555462728768     ,-0.63953954619422149     )
 (-0.26443075654018600     ,-0.95138735173447486     )
 ( 0.96628180439599731     , 0.45567333410189548     )
 (-0.41037845902011583     , 0.89411974781574344     )
 ( 0.34416576817320532     , 0.85597474214420544     )
 (-0.39407161184434614     , 0.67319106876328050     )
 (-7.24098248790738808E-003, 0.80808575206332733     )
 (-0.68210479344921993     , 0.53445088496919624     )
 (-0.93805093046362487     ,-0.27797796401558372     )
 ( 2.08384105550152299E-003, 0.62866529195837728     )
 (-0.29244827181330635     , 0.83098508942475036     )
 (-0.54530878447705078     ,-0.31086086518730127     )
 ( 0.76123946357747485     , 0.90655023537021151     )
 (-0.30196753409362742     , 0.42985421089786513     )
 ( 0.22336996740207127     , 0.14210650041444950     )
 ( 8.31158617560134871E-003, 0.98555567186240722     )
 ( 0.80091527806293783     ,-0.31289815498360696     )
 ( 0.26225534690043872     ,-0.44185142135581401     )
 ( 0.66786154693797783     , 0.54215577485364719     )
 ( 1.94672522480558996E-002, 0.68105049876663060     )
 (-0.54779877382143383     , 0.41520756142119097     )
 ( 0.13806508825083341     ,-0.56525362299618820     )
 ( 0.11291069866913261     , 0.12125965744666445     )
 ( 0.33673568356046957     ,-0.46510384145967265     )
 (-5.19653577374370457E-002, 0.23763990636540910     )
 (-0.63478864648644873     ,-0.91385870195114904     )
 (-0.31787877685994914     , 0.68273031502030079     )
 ( 0.85078162919315758     , 0.19243084865507143     )
 (-0.24629295287159181     ,-2.65180150767108103E-002)
 (-0.90076121471955872     ,-0.59457120844337652     )
 (-0.97772483695778334     ,-0.93455722016256715     )
 (-8.19461261504912386E-002, 0.66855914010948680     )
 ( 0.72504080860257858     ,-0.55684605388990605     )
 (-0.20397105413170635     , 9.26816314922049855E-002)
 (-0.65200448278140044     ,-0.31168830289016825     )
 (-0.45939160197250573     ,-0.67754399539484922     )
 (-3.12018370978890403E-002, 0.91272722429140885     )
 (-0.11010458037097948     ,-0.21266554534106064     )
 ( 0.54227901082051488     ,-0.36745879516480073     )
 (-4.53541673752297925E-002,-0.22999264704703393     )
 (-0.38154263752299045     ,-6.59558605208374615E-002)
 (-0.99546128249406962     ,-0.41479577535807977     )
 (-0.68099756275817214     , 0.81950927408342267     )
 (-0.38371140139762616     , 0.48520778783500162     )
 ( 0.38692821594249693     ,-0.27165206536063380     )
 ( 0.19710512446109618     ,-0.93753892583055887     )
 (-0.77305641254449853     , 0.33433533785704839     )
 (-0.84093937766798632     ,-0.60357622595319782     )
 ( 0.65621678572610875     ,-0.62168417186342850     )
 ( 0.44653113039881731     , 0.10855147901741447     )
 (-0.70170471762251196     ,-0.31263246334902561     )
 ( 0.73347001725195327     , 0.58811792934516660     )
 ( 1.24865090546322222E-002,-0.53942484055995266     )
 (-0.44170741478982478     ,-0.70023678341824080     )
 ( 0.41808852388296458     , 0.79801340883636129     )
 (-0.77496737754351130     , 0.27331763902639494     )
 (-0.46659949209411167     ,-0.63202979378332458     )
 ( 0.86861521856368284     , 0.22480906224375730     )
 (-0.98562171990008807     , 0.72752535399376228     )
 (-0.81698821115598008     , 0.50679869736000427     )
 ( 0.78306735355035784     , 0.43803475093556443     )
 ( 0.59214066506702778     ,-0.89650632334662106     )
 ( 0.44248292060503758     , 0.67953969732047170     )
 ( 0.87808730344871577     ,-0.33635782099708678     )
 (-0.63164994869234903     , 0.12131297510938310     )
 ( 0.36797963542490919     , 0.21921563705557645     )
 (-0.53999418285295775     ,-0.47064431676290752     )
 ( 0.74310384258077278     , 0.51251024351909535     )
 (-0.94126448885717906     , 0.79035875929741195     )
 (-0.47997862578203154     , 0.11574406578454699     )
 ( 0.46280512552223030     , 0.13512822631832222     )
 (-0.46301315559973233     ,-0.23232592387029882     )
 ( 0.87039926972752113     , 0.40743096699531378     )
 (-0.24169395507218638     ,-0.81160319094903599     )
 (-0.32448473577253623     ,-7.36642523270418792E-002)
 (-9.21488084503963023E-002,-0.69148533218135100     )
 ( 0.16353772959100610     ,-0.86391020946337704     )
 (-0.49079581716686249     , 0.22943461914717744     )
 (-0.73633889448453971     ,-0.24292807510187941     )
 (-0.38273440553044935     , 0.80990463791868450     )
 (-0.29952231901402371     , 9.90867371309533951E-002)
 (-0.22691514359807030     ,-0.33282670680461734     )
 (-0.64215660552256537     , 0.75389768373269561     )
 (-0.47642693397612135     , 0.33156680230290903     )
 (-0.23948962790573347     ,-0.14787166683607467     )
 ( 0.36909167780478214     , 0.66800322156375813     )
 ( 0.25391141177808407     ,-0.11982274046500407     )
 ( 0.50810537805758571     ,-0.53080730969322332     )
 (-0.19416510680262178     , 0.76028112488381083     )
 ( 0.63758330317428857     ,-4.98067009244280712E-002)
 (-0.42352360433208247     ,-0.81899034329035914     )
 ( 0.86406689051371899     , 0.97479171350556015     )
 (-0.15856685956314465     ,-0.66902694640010196     )
 ( 0.13173256323553773     , 8.80436521362568669E-002)
 (-3.34432611020716308E-002,-0.83494566579134499     )
 (-0.74619935626621015     ,-0.69157081052771474     )
 (-0.48986387521049579     ,-0.32526621648242582     )
 ( 0.54071586493270019     , 0.26463913490345448     )
 (-0.12241652383838897     ,-0.47826255476821444     )
 ( 0.17608710456678267     , 0.38819892364113429     )
 (-0.88742110811754316     ,-0.36799593966487265     )
 ( 4.78620046767090912E-002, 0.86114304762502769     )
 (-0.66256792231067863     , 0.36451245925103848     )
 ( 0.97106345691175733     ,-0.14003644759868195     )
 (-0.85982118172692168     , 0.72153167872726698     )
 (-0.46193296616096546     , 0.95025803027004230     )
 ( 5.75840646199807793E-002, 0.43303649448443338     )
 (-0.27371117268095446     ,-0.48691664945358326     )
 (-0.44229045018128232     ,-6.69408631596368764E-002)
 ( 0.52971931711655174     , 0.69116858457771713     )
 (-0.95604053822487600     ,-0.82068881105602287     )
 ( 3.34183362750408719E-002,-0.97695829379581056     )
 ( 0.97048034776130265     ,-0.49580444407559554     )
 (-0.58268357560749706     , 0.80296717764934300     )
 ( 0.88739860346029076     ,-0.59497556181714373     )
 (-0.61911363420441745     ,-0.99343703362814750     )
 ( 0.95956810815177818     , 0.18855294322667504     )
 (-0.42810700328144691     , 0.72325338020817043     )
 ( 0.18520930791876111     , 0.10951682786684813     )
 (-0.94606306604706703     ,-0.57049414381817343     )
 ( 0.26698682023938858     , 0.13941437627214981     )
 ( 5.73162270429392606E-002,-0.26171700734773395     )
 ( 6.86329360626345419E-002,-0.55001591070504929     )
 ( 0.74927656696134903     , 0.71250317502295246     )
 (-0.83888327054919642     ,-0.59961081334439115     )
 (-0.81855690369028622     ,-0.69926838797466218     )
 (-0.41547964989374719     ,-0.79228559400576870     )
 ( 0.69756255944624712     ,-0.56599402735782434     )
 ( 0.21115297058408800     ,-0.88830227852952959     )
 ( 0.81207100555408118     ,-6.91754069694709983E-002)
 (-0.29705371227303345     , 0.89634689951389390     )
 (-7.71229864780380581E-002, 0.33507790835169970     )
 (-0.15222906315748475     , 0.90791576049934264     )
 (-0.65144905538117115     , 0.52627285621218078     )
 ( 0.99592816737824563     ,-0.35967487745643467     )
 (-0.64572545269690096     ,-0.61502700353339179     )
 (-0.51435684966677542     ,-0.39980383270870590     )
 (-0.54913016188314856     ,-0.41385850356943621     )
 (-0.44414715961986673     ,-0.80609311251919991     )
 ( 0.84042906347448110     , 0.97121744109795571     )
 (-0.36812010034427800     ,-0.89682714774915695     )
 (-0.91105379073523096     , 0.78346564475457825     )
 (-0.50434769458795614     ,-3.67207414271959465E-002)
 (-0.29565753145531204     ,-0.16739623657367275     )
 (-0.69709658979477496     ,-0.31606037413633459     )
 (-0.81417919778736092     ,-0.49888446310257706     )
 ( 0.39620690103290457     ,-0.36348496424262322     )
 (-0.68898426659180956     ,-0.84180707541913335     )
 ( 0.22070281281585125     ,-2.23159798159784373E-002)
 ( 8.93613034947620122E-002, 0.37510024132023290     )
 ( 0.33989199185364072     ,-0.98170544167192730     )
 (-0.79307981415892215     , 0.33010764724877362     )
 ( 0.65785467636865036     ,-0.16825634329109818     )
 ( 0.31803780322658071     , 0.56918700012868584     )
 (-0.30737833601299513     ,-9.14958434514190344E-002)
 (-0.27395557444462071     ,-0.90741236085973043     )
 (-0.55086863001051967     ,-9.29597612361092729E-002)
 ( 0.48726313667267362     ,-0.56559936411242262     )
 (-0.42981955460025034     ,-0.64398992065867589     )
 (-0.45677024756302131     ,-0.51553507856596781     )
 ( 0.58595702046172704     ,-0.91696625347424998     )
 (-0.96627025318915827     , 0.38665497747836497     )
 (-5.19284332078555622E-002,-0.63890577382472458     )
 ( 0.49144449859212358     , 0.67690496532809874     )
 ( 0.95840833047886775     ,-0.92047308719327958     )
 ( 0.31611220851728916     ,-0.73454424187531941     )
 (-0.35245222137016441     ,-0.90777448872200495     )
 ( 4.55851548275276741E-002, 0.91294683982123814     )
 ( 0.20789502336187837     ,-0.67416244227445787     )
 (-0.11855794500210237     ,-0.88369806128918782     )
 (-4.60717600469493505E-002,-7.49718117031150655E-002)
 ( 0.21132968218906711     ,-0.94993692615020819     )
 ( 0.30209217986648440     ,-2.49561396098059163E-002)
 ( 0.14739904709059459     , 0.26909990951815388     )
 (-0.60325750541185386     , 0.10349596353466239     )
 ( 0.14350589918407053     ,-0.23835256409501682     )
 (-0.65786576729474433     ,-0.92180485428264802     )
 ( 0.46170052606381518     , 0.76459252350462492     )
 (-0.75531994961350080     ,-0.43431177411594746     )
 ( 0.65437533531220282     ,-0.74197366574430390     )
 (-0.73948211559045518     ,-0.69943173548643500     )
 ( 0.46070799053605782     ,-0.38950758574794264     )
 (-0.45823842288425709     , 0.46833222158669940     )
 (-0.14182955847005729     , 0.44227704090172182     )
 ( 0.46659871415626952     , 0.17923714494315135     )
 ( 0.86030753814153371     , 2.86965517065524978E-002)
 ( 3.45852386283453939E-002,-0.81305749805870420     )
 ( 0.53416054827365400     ,-0.27917655761752513     )
 ( 0.14500373918453846     ,-0.21158940649218749     )
 (-0.72694168743309007     ,-0.21535351116319390     )
 (-0.88606082506746731     ,-0.93974352791406801     )
 (-0.62354053833374934     , 0.24346752056617760     )
 ( 0.81071969642712105     , 0.79618092366296622     )
 ( 0.35654059658414639     , 0.86958625233540232     )
 ( 0.91750864979055535     ,-0.11002763102033697     )
 ( 0.13472508853245557     , 0.15220226654451352     )
 (-0.12694569001823908     , 0.26351349019579828     )
 (-0.44122730829557355     ,-0.76384266951192359     )
 ( 1.38438794692987699E-002, 0.19896349670829494     )
 ( 0.73583898084765309     ,-0.52716076924225064     )
 (-0.64089468995266685     , 0.15349470749003302     )
 (-6.24967749218185986E-002, 0.96745771133594616     )
 ( 0.61119205826823730     ,-0.50666995276061044     )
 ( 0.81259119024533533     ,-0.41182858752467411     )
 (-0.40419053105015479     , 0.38604362980242257     )
 (-8.87697573379142568E-003, 0.18937942425571208     )
 (-0.99176540355026788     , 0.26583733475148819     )
 ( 0.65133332320814219     , 0.78607969175691750     )
 (-0.45191858011671826     , 0.39047967167595488     )
 (-0.85012179949311673     , 0.21572653808282638     )
 ( 2.72080861966728094E-002,-0.77952322833744603     )
 (-0.59349981243250483     , 0.18067850701896049     )
 (-0.34101047600970702     , 0.47552654661478044     )
 ( 0.53700358110446444     , 0.84530306890263063     )
 ( 0.44332501122246271     , 0.19007341448263304     )
 (-0.48416207906317510     , 0.35928398133165018     )
 ( 0.43635355140772702     , 0.95352000214585786     )
 (-0.17966686843650592     ,-0.59015224936553778     )
 ( 0.94784771565834802     ,-0.53894859238426562     )
 (-0.41388600829660760     , 0.41267520057140672     )
 (-0.32141355809799421     , 0.82277442939231804     )
 ( 0.43588150809429038     ,-0.89861987846627045     )
 ( 0.95560664784309068     ,-0.28834384676407154     )
 (-0.39497803679629584     ,-0.43919315344619037     )
 (-0.86896008928065527     , 0.92925092528354725     )
 (-0.82417161888546531     ,-0.71279012026304400     )
 (-0.40880860536001506     ,-0.48788046463733536     )
 ( 0.17093141170752091     ,-0.60918111172799883     )
 (-0.48744883472418365     , 0.89585688552698883     )
 ( 9.42746703719521406E-002, 0.95054896097479258     )
 (-0.53851947809378231     ,-0.67255797373969273     )
 (-0.48192911116453985     ,-0.22112346563444163     )
 (-0.74967450168774263     , 0.72489470646666376     )
 ( 0.89507733231308606     , 7.43532915779994141E-002)
 (-0.65438626326042737     , 0.20565300328689062     )
 ( 0.45066931903519247     ,-0.12793885005516614     )
 ( 0.90972702313901976     , 0.84636467395340986     )
